DTEC462-R1-06	Administrator	02/28/2018	08:18:52	08:25:40
DTEC462-R1-06	tech	02/28/2018	08:26:03	08:26:14
DTEC462-R2-02	jlamb14	02/28/2018	08:10:18	08:41:20
DTEC462-R4-09F	tech	02/28/2018	08:45:14	08:46:40
DTEC462-R3-03	aaguilar5	02/28/2018	08:41:43	08:53:53
DTEC462-R1-06	lthomas85	02/28/2018	08:42:18	08:54:16
DTEC462-R2-02	vpafundi	02/28/2018	09:14:33	09:19:51
DTEC462-R1-06	ppascasio	02/28/2018	09:09:36	09:20:38
DTEC462-R3-02	acooper42	02/28/2018	09:35:46	10:07:16
DTEC462-R4-05F	JGraeber	02/28/2018	09:20:35	10:15:25
DTEC462-R3-06	scaballes	02/28/2018	11:02:33	11:10:29
DTEC462-R3-05	rstubbs6	02/28/2018	11:11:43	11:12:16
DTEC462-R3-07	Administrator	02/28/2018	11:13:44	11:14:16
DTEC462-R3-02	kwilliams216	02/28/2018	11:04:14	11:20:46
DTEC462-R4-07F	jchavez33	02/28/2018	10:54:12	11:20:50
DTEC462-R4-03	tferguson8	02/28/2018	11:02:35	11:34:17
DTEC462-R2-02	Administrator	02/28/2018	11:38:43	11:39:55
DTEC462-R4-08	tmakev	02/28/2018	11:24:33	11:45:07
DTEC462-R4-05F	vlong3	02/28/2018	11:02:08	11:46:49
DTEC462-R4-09F	dleonferrer	02/28/2018	10:54:02	11:47:45
DTEC462-R3-07	cherman2	02/28/2018	11:41:31	11:48:58
DTEC462-R3-06	rstubbs6	02/28/2018	11:12:54	11:53:36
DTEC462-R4-03	rdavis133	02/28/2018	11:48:05	11:55:04
DTEC462-R2-09	mfernandez89	02/28/2018	11:11:55	12:03:10
DTEC462-R3-09	exavier	02/28/2018	11:01:29	12:11:56
DTEC462-R3-05	ebarre2	02/28/2018	12:07:53	12:17:38
DTEC462-R1-07	ialhamed	02/28/2018	12:05:49	12:20:29
DTEC462-R1-05	jwilson171	02/28/2018	12:22:03	12:24:28
DTEC462-R4-01	tibitoye	02/28/2018	11:21:06	12:29:46
DTEC462-R3-03	kwilliams216	02/28/2018	11:23:48	12:31:56
DTEC462-R2-02	smoctezuma2	02/28/2018	12:26:48	12:49:16
DTEC462-R1-03	Administrator	02/28/2018	12:53:23	12:54:12
DTEC462-R1-09	Administrator	02/28/2018	12:58:46	13:00:12
DTEC462-R3-03	ymaldonado9	02/28/2018	12:41:13	13:12:44
DTEC462-R2-06	Administrator	02/28/2018	13:15:46	13:16:33
DTEC462-R3-09	jlewars	02/28/2018	12:20:57	13:32:24
DTEC462-R2-04	rfulton3	02/28/2018	11:04:48	13:49:36
DTEC462-R1-05	ebutterfield2	02/28/2018	14:03:20	14:20:39
DTEC462-R1-10	shill33	02/28/2018	14:19:36	14:24:56
DTEC462-R4-04	callard2	02/28/2018	13:41:06	14:30:28
DTEC462-R4-08	nmeagher	02/28/2018	12:21:28	14:34:25
DTEC462-R4-09F	tevans41	02/28/2018	12:18:31	14:49:02
DTEC462-R3-02	ppatel53	02/28/2018	14:23:32	14:50:20
DTEC462-R1-05	lsanchez61	02/28/2018	14:31:22	14:52:03
DTEC462-R3-03	ageorge	02/28/2018	13:39:57	14:54:32
DTEC462-R3-02	rhearing	02/28/2018	14:55:56	14:56:40
DTEC462-R2-02	JCOWPERTHWAITE	02/28/2018	14:24:08	15:05:22
DTEC462-R3-05	rhearing	02/28/2018	15:01:48	15:05:51
DTEC462-R2-04	kcolson3	02/28/2018	15:01:53	15:15:17
DTEC462-R1-09	shill33	02/28/2018	14:29:30	15:32:10
DTEC462-R2-02	smanning7	02/28/2018	15:13:12	15:34:08
DTEC462-R1-05	jdorman5	02/28/2018	14:57:17	15:58:44
DTEC462-R1-03	mperez53	02/28/2018	15:50:28	16:01:48
DTEC462-R4-01	lgarcia95	02/28/2018	13:56:33	16:10:06
DTEC462-R4-09F	bfields9	02/28/2018	15:13:33	16:16:15
DTEC462-R2-02	rbaffa	02/28/2018	16:07:08	16:40:19
DTEC462-R1-09	gnavarro4	02/28/2018	15:55:30	16:50:48
DTEC462-R1-05	mlopez137	02/28/2018	16:49:05	16:51:45
DTEC462-R1-05	tford3	02/28/2018	16:54:06	16:59:04
DTEC462-R1-03	dnewhard	02/28/2018	16:26:36	17:17:26
DTEC462-R1-06Z	idiaz13	02/28/2018	14:40:33	17:28:54
DTEC462-R4-01	tibitoye	02/28/2018	16:35:28	17:30:10
DTEC462-R2-08	callard2	02/28/2018	15:58:51	17:45:53
DTEC462-R4-03	cmcneil	02/28/2018	17:42:19	18:13:38
DTEC462-R4-09F	mbaskrun	02/28/2018	18:10:14	18:23:00
DTEC462-R3-06	shill33	02/28/2018	15:36:32	18:58:02
DTEC462-R1-03	ysimon	02/28/2018	19:07:02	19:26:46
DTEC462-R2-08	dzayas3	02/28/2018	18:25:41	19:52:45
DTEC462-R2-03	mgarcia146	02/28/2018	19:57:55	19:58:51
DTEC462-R1-05	tford3	02/28/2018	19:37:51	20:01:11
DTEC462-R2-04	aasengarcia	02/28/2018	19:46:02	20:09:08
DTEC462-R2-07	jperez223	02/28/2018	19:59:47	20:19:15
DTEC462-R4-09F	rbaffa	02/28/2018	19:26:24	20:23:23
DTEC462-R2-08	msmith265	02/28/2018	20:06:43	20:24:24
DTEC462-R3-02	jscott81	02/28/2018	19:45:32	20:30:30
DTEC462-R3-05	vearnest	02/28/2018	19:36:32	20:32:32
DTEC462-R4-01	srodrigues2	02/28/2018	19:28:14	20:45:18
DTEC462-R3-09	alacroes	02/28/2018	13:37:28	21:17:29
DTEC462-R3-06	vearnest	02/28/2018	20:34:28	21:19:05
DTEC462-R1-06	mexceus2	02/28/2018	20:51:58	21:26:37
DTEC462-R1-06Z	jgalbreath	02/28/2018	20:13:11	21:33:40
DTEC462-R1-08	sbergman2	02/28/2018	17:54:38	21:45:10
DTEC462-R2-02	emish	02/28/2018	17:05:40	21:50:58
DTEC462-R4-04	kryerson	02/28/2018	19:59:34	21:51:51
DTEC462-R1-05	lmagloire2	02/28/2018	20:08:35	21:58:34
DTEC462-R3-02	bmichelon	03/01/2018	08:02:22	08:08:10
DTEC462-R3-04	srose	03/01/2018	08:09:37	08:11:34
DTEC462-R1-06	hestache	03/01/2018	08:06:27	08:14:04
DTEC462-R1-08	jwilliamson13	03/01/2018	08:15:05	08:15:16
DTEC462-R1-03	tjones194	03/01/2018	08:05:50	08:27:39
DTEC462-R1-06	tech	03/01/2018	08:48:38	08:49:52
DTEC462-R4-09F	olarry	03/01/2018	08:02:17	08:52:40
DTEC462-R3-02	Administrator	03/01/2018	08:50:48	08:53:05
DTEC462-R3-07	Administrator	03/01/2018	09:00:12	09:02:22
DTEC462-R3-04	tech	03/01/2018	09:00:29	09:02:37
DTEC462-R4-02	tech	03/01/2018	09:08:11	09:10:14
DTEC462-R1-08	Administrator	03/01/2018	09:10:10	09:10:26
DTEC462-R1-04	tech	03/01/2018	09:12:10	09:13:54
DTEC462-R1-09	Administrator	03/01/2018	09:11:55	09:14:15
DTEC462-R2-03	jcalero6	03/01/2018	09:08:12	09:15:15
DTEC462-R1-06Z	tech	03/01/2018	09:14:15	09:16:33
